Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Sirdeshmukh, R.B., Bhargava, P.M.","Uptake of exogenous RNA by rat-liver parenchymal cells in suspension prepared by the collagenase method.",1983,"Indian Journal of Biochemistry and Biophysics","20","3",,"121","126",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020768190&partnerID=40&md5=a9de65f8e8b2376829094b5dd4869d13",,"Sirdeshmukh, R.B.; Bhargava, P.M.",[No abstract available],,"bacterial RNA; clostridiopeptidase A; RNA; animal; article; cytology; Escherichia coli; female; in vitro study; liver; male; metabolism; rat; rat strain; transport at the cellular level; Animal; Biological Transport; Escherichia coli; Female; In Vitro; Liver; Male; Microbial Collagenase; Rats; Rats, Inbred Strains; RNA; RNA, Bacterial; Support, Non-U.S. Gov't",,"RNA, 63231-63-0; Microbial Collagenase, EC 3.4.24.3; RNA, 63231-63-0; RNA, Bacterial",,,,,"Sirdeshmukh, R.B.",,,,,,,,03011208,,,6200424,"English","Indian J Biochem Biophys",Article,Scopus,2-s2.0-0020768190
"Reddy, E.S.P., Vijayarangam, D., Bhargava, P.M.","Effect of spermine, ethylenediamine tetraacetate, urea, and high salt on the activity of ribonuclease SPL on Mg2+-containing undenatured total E. coli and rat liver RNAs",1983,"Journal of Biochemistry","93","1",,"307","310",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020563777&partnerID=40&md5=e25faba7cc7928f3b7548042f201b0b5","Cent. Cell. Mol. Biol., Hyderabad 500009, India","Reddy, E.S.P., Cent. Cell. Mol. Biol., Hyderabad 500009, India; Vijayarangam, D., Cent. Cell. Mol. Biol., Hyderabad 500009, India; Bhargava, P.M., Cent. Cell. Mol. Biol., Hyderabad 500009, India",[No abstract available],,"edetic acid; radioisotope; ribonuclease; rna; sodium chloride; spermine; urea; animal cell; dose response; drug comparison; drug interaction; drug mechanism; drug response; escherichia coli; liver; nonhuman; preliminary communication; rat; ribonuclease spl; rna h 3; Animal; Edetic Acid; Endoribonucleases; Escherichia coli; Liver; Magnesium; Nucleic Acid Denaturation; Osmolar Concentration; Rats; RNA; RNA, Bacterial; Spermine; Urea",,"edetic acid, 150-43-6, 60-00-4; ribonuclease, 59794-03-5, 9001-99-4; RNA, 63231-63-0; sodium chloride, 7647-14-5; spermine, 306-67-2, 71-44-3; urea, 57-13-6; Edetic Acid, 60-00-4; Endoribonucleases, EC 3.1.-; Magnesium, 7439-95-4; ribonuclease SPL, EC 3.1.27.-; RNA, 63231-63-0; RNA, Bacterial; Spermine, 71-44-3; Urea, 57-13-6",,,,,,,,,,,,,0021924X,,JOBIA,6188753,"English","J. BIOCHEM.",Article,Scopus,2-s2.0-0020563777
"Reddy, E.S., Das, M.R., Reddy, E.P., Bhargava, P.M.","Inhibition of reverse transcriptase by seminalplasmin",1983,"Biochemical Journal","209","1",,"183","188",,10,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020647519&partnerID=40&md5=f12e587851454b0f838cbc22733d37d1","Cent. Cell. Molec. Biol., Reg. Res. Lab. Campus, Hyderabad 500009, India","Reddy, E.S., Cent. Cell. Molec. Biol., Reg. Res. Lab. Campus, Hyderabad 500009, India; Das, M.R., Cent. Cell. Molec. Biol., Reg. Res. Lab. Campus, Hyderabad 500009, India; Reddy, E.P., Cent. Cell. Molec. Biol., Reg. Res. Lab. Campus, Hyderabad 500009, India; Bhargava, P.M., Cent. Cell. Molec. Biol., Reg. Res. Lab. Campus, Hyderabad 500009, India",[No abstract available],,"dna polymerase; enzyme; plasmin; radioisotope; transcriptase; caltrin; DNA; messenger RNA; polynucleotide; protein; RNA directed DNA polymerase inhibitor; avian myeloblastosis virus; dna synthesis; drug inhibition; drug mechanism; nonhuman; retrovirus; sperm; article; Avian leukosis oncovirus; biosynthesis; drug effect; enzymology; genetic transcription; metabolism; Retrovirus; DNA; Myeloblastosis Virus, Avian; Polynucleotides; Proteins; Retroviridae; Reverse Transcriptase Inhibitors; RNA, Messenger; Transcription, Genetic",,"DNA polymerase, 37217-33-7; plasmin, 9001-90-5, 9004-09-5; DNA, 9007-49-2; protein, 67254-75-5; caltrin; DNA, 9007-49-2; Polynucleotides; Proteins; Reverse Transcriptase Inhibitors; RNA, Messenger",,,,,,,,,,,,,02646021,,BIJOA,6189479,"English","BIOCHEM. J.",,Scopus,2-s2.0-0020647519
"Sirdeshmukh, R., Bhargava, P.M.","Evidence for the presence of a cell-surface ribonuclease in mechanically prepared rat-liver cells in suspension",1982,"Bioscience Reports","2","10",,"751","760",,1,10.1007/BF01114934,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020444217&partnerID=40&md5=2df17f9227823d6d0c424776871abe5b","Centre for Cellular and Molecular Biology, Hyderabad, 500 009, Andhra Pradesh, India","Sirdeshmukh, R., Centre for Cellular and Molecular Biology, Hyderabad, 500 009, Andhra Pradesh, India; Bhargava, P.M., Centre for Cellular and Molecular Biology, Hyderabad, 500 009, Andhra Pradesh, India","Rat-liver parenchymal cells obtained in suspension by a mecahnical method are shown to contain a cell-surface nuclease(s ) that rapidly degrades exogenously added total Escherichia coli RNA. However, no acid-soluble products are formed; all the degradation products in the incubation medium sediment in the 4-55 RNA region on a sucrose density gradient. A part of the degraded RNA seems to be taken up by the cells; the uptake of the degradation products, presumably derived from rRNAs, is more than that of purified 4-55 RNA. Most of the RNA taken up by the cell sediments in the 4-55 region; only a small proportion is degraded to acid-soluble material within the cell. © 1982 The Biochemical Society.",,"radioisotope; ribonuclease; rna; animal cell; cell membrane; heredity; liver; liver cell; nonhuman; rat; Animal; Cell Membrane; Centrifugation, Density Gradient; Female; Kinetics; Liver; Male; Molecular Weight; Rats; Rats, Inbred Strains; Ribonucleases; Support, Non-U.S. Gov't",,"ribonuclease, 59794-03-5, 9001-99-4; RNA, 63231-63-0; Ribonucleases, EC 3.1.-",,,,"Jacob, S.T., Bhargava, P.M., (1962) Exptl. Cell Res., 27, pp. 453-467; Shanmugam, G., Bhargava, P.M., (1966) Biochem. J., 99, pp. 297-307; Shanmugam, G., Bhargava, P.M., (1969) Ind. J. Biochem., 6, pp. 64-70; Kumar, G.K.K., Bhargava, P.M., (1975) J. Memb. Biol., 22, pp. 329-430; Lowry, O.H., Rosebrough, N.J., Farr, A.L., Randall, R.J., (1951) J. Biol. Chem., 193, pp. 265-275; Reddy, E.S.P., Sitaram, N., Bhargava, P.M., Scheit, K.H., (1979) J. Mol. Biol., 135, pp. 525-544; Sirdeshmukh R (1981) Ph.D. Thesis, Osmania UniversityProspero, T.D., Burge, M.L.E., Norris, K.A., Hinton, R.H., Reid, E., (1973) Biochem. J., 132, pp. 449-458; Aronson, N.N., Jr, Yannarell, A., (1975) Biochim. Biophys. Acta, 413, pp. 135-142; Herzberg, M., Melloul, D., (1979) Exptl. Cell Res., 122, pp. 410-416; Fuller, F.J., Marcus, P.I., (1979) J. Cell. Physiol., 98, pp. 1-10","Sirdeshmukh, R.; Centre for Cellular and Molecular Biology, Hyderabad, 500 009, Andhra Pradesh, India",,,"Kluwer Academic Publishers",,,,,01448463,,BRPTD,7171742,"English","Biosci Rep",Article,Scopus,2-s2.0-0020444217
"Prasad, K.S., Bhargava, P.M.","A comparative study of RNA synthesis in liver cells functioning at different levels of organisation.",1982,"Indian Journal of Biochemistry and Biophysics","19","2",,"75","85",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0020120401&partnerID=40&md5=e1bf86aac688a9e7d04c9ec491c0b5af",,"Prasad, K.S.; Bhargava, P.M.",[No abstract available],,"RNA; aging; animal; article; biosynthesis; comparative study; female; genetic transcription; growth, development and aging; liver; male; metabolism; rat; Aging; Animal; Comparative Study; Female; Liver; Male; Rats; RNA; Transcription, Genetic",,"RNA, 63231-63-0; RNA, 63231-63-0",,,,,"Prasad, K.S.",,,,,,,,03011208,,,6182092,"English","Indian J Biochem Biophys",Article,Scopus,2-s2.0-0020120401
"Rao, V.N., Bhargava, P.M.","Antiseminalplasmin: An inhibitor of seminalplasmin isolated from bovine seminal plasma",1981,"Indian Journal of Biochemistry and Biophysics","18","4",,"","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019805034&partnerID=40&md5=ab828f2560c6f8f12bc56e2f69b2bae3","Reg. Res. Lab., Cent. Cell. Molec. Biol., Hyderabad 500 009, India","Rao, V.N., Reg. Res. Lab., Cent. Cell. Molec. Biol., Hyderabad 500 009, India; Bhargava, P.M., Reg. Res. Lab., Cent. Cell. Molec. Biol., Hyderabad 500 009, India",[No abstract available],,"plasmin; abstract report; animal experiment; cattle; male genital system; plasmin antibody; sperm",,"plasmin, 9001-90-5, 9004-09-5",,,,,,,,,,,,,03011208,,IJBBB,,"English","INDIAN J. BIOCHEM. BIOPHYS.",,Scopus,2-s2.0-0019805034
"Bhargava, P.M.","Four new and unusual proteins from bovine seminal plasma",1981,"Biochemical Society Transactions","9","6",,"540","543",,7,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019770060&partnerID=40&md5=db4baf537e417116b3c68e42aa2832ac","Cent. Cell. Molec. Biol., Reg. Res. Lab., Hyderabad 500 009, India","Bhargava, P.M., Cent. Cell. Molec. Biol., Reg. Res. Lab., Hyderabad 500 009, India",[No abstract available],,"protein; animal experiment; cattle; male genital system; protein synthesis; sperm; Animal; Anti-Infective Agents; Cattle; Cell Division; Kinetics; Male; Peptide Hydrolases; Proteins; Ribonucleases; Semen; Seminal Plasma Proteins; Substrate Specificity",,"protein, 67254-75-5; Anti-Infective Agents; antiseminalplasmin; caltrin; Peptide Hydrolases, EC 3.4; prostatic secretory protein PSP94; Proteins; Ribonucleases, EC 3.1.-; Seminal Plasma Proteins",,,,,,,,,,,,,03005127,,BCSTB,7030823,"English","BIOCHEM. SOC. TRANS.",Article,Scopus,2-s2.0-0019770060
"Reddy, E.S.P., Scheit, K.H., Bhargava, P.M.","Atypical behaviour of ribonuclease SPL: different concentrations of the enzyme give different limit digests",1981,"FEBS Letters","131","2",,"377","380",,,10.1016/0014-5793(81)80408-5,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019892018&partnerID=40&md5=d0f6676df7de1b4f45ff7c5e26994371","Centre for Cellular and Molecular Biology, Hyderabad, 500009, India; Max-Planck Institut für Biophysikalische Chemie, Abteilung Molekulare Biologie, Am Fassberg, 3400 Göttingen-Nikolausberg FRG","Reddy, E.S.P., Centre for Cellular and Molecular Biology, Hyderabad, 500009, India, Max-Planck Institut für Biophysikalische Chemie, Abteilung Molekulare Biologie, Am Fassberg, 3400 Göttingen-Nikolausberg FRG; Scheit, K.H., Centre for Cellular and Molecular Biology, Hyderabad, 500009, India, Max-Planck Institut für Biophysikalische Chemie, Abteilung Molekulare Biologie, Am Fassberg, 3400 Göttingen-Nikolausberg FRG; Bhargava, P.M., Centre for Cellular and Molecular Biology, Hyderabad, 500009, India, Max-Planck Institut für Biophysikalische Chemie, Abteilung Molekulare Biologie, Am Fassberg, 3400 Göttingen-Nikolausberg FRG",[No abstract available],,"bacterial RNA; ribonuclease; ribonuclease spl; animal; article; cattle; dose response; enzymology; Escherichia coli; male; metabolism; molecular weight; polyacrylamide gel electrophoresis; sperm; time; Animal; Cattle; Dose-Response Relationship, Drug; Electrophoresis, Polyacrylamide Gel; Escherichia coli; Male; Molecular Weight; Ribonucleases; RNA, Bacterial; Semen; Time Factors",,"ribonuclease, 59794-03-5, 9001-99-4; ribonuclease SPL, EC 3.1.27.-; Ribonucleases, EC 3.1.-; RNA, Bacterial",,,,"Reddy, Sitaram, Bhargava, Scheit, (1979) J. Mol. Biol., 135, pp. 525-544; Reddy, Bhargava, (1979) Nature, 279, pp. 725-728; Abe, Fujisawa, Satake, Ogata, (1972) J. Biochem., 72, pp. 561-570","Reddy, E.S.P.; Centre for Cellular and Molecular Biology, Hyderabad, 500009, India",,,,,,,,00145793,,FEBLA,6170526,"English","FEBS Lett.",Article,Scopus,2-s2.0-0019892018
"Bhargava, P.M., Reddy, E.S.P., Sitaram, N., Scheit, K.H.","Amino acid composition of RNAase from seminal plasma: A correction",1981,"Journal of Molecular Biology","146","2",,"265","267",,,10.1016/0022-2836(81)90436-8,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0019887721&partnerID=40&md5=35237e57e2ca915abb418cd2647cc684","Centre for Cellular, Molecular Biology Regional Research Laboratory Hyderabad, 500 009, India; Max-Planck-Institut für Biophysikalische Chemie, D-3400 Goettingen, Germany","Bhargava, P.M., Centre for Cellular, Molecular Biology Regional Research Laboratory Hyderabad, 500 009, India; Reddy, E.S.P., Centre for Cellular, Molecular Biology Regional Research Laboratory Hyderabad, 500 009, India; Sitaram, N., Centre for Cellular, Molecular Biology Regional Research Laboratory Hyderabad, 500 009, India; Scheit, K.H., Max-Planck-Institut für Biophysikalische Chemie, D-3400 Goettingen, Germany",[No abstract available],,"amino acid; ribonuclease; animal; article; cattle; enzymology; male; sperm; Amino Acids; Animal; Cattle; Male; Ribonucleases; Semen",,"amino acid, 65072-01-7; ribonuclease, 59794-03-5, 9001-99-4; Amino Acids; Ribonucleases, EC 3.1.-",,,,"D'Alessio, Malorni, Parente, (1975) Biochemistry, 14, pp. 1116-1122; Donato, D'Alessio, Intrachain disulfide bridges of bovine seminal ribonuclease (1979) Biochimica et Biophysica Acta (BBA) - Protein Structure, 579, pp. 303-313; Hirs, The oxidation of ribonuclease with performic acid. (1956) J Biol Chem, 219, pp. 611-621; Leone, D'Alessio, (1977) Biochem. Soc. Trans, 5, pp. 466-470; Palmieri, Libonati, (1976) Boll. Soc. Ital. Biol. Sper, 52, pp. 80-84; Reddy, Sitaram, Bhargava, Scheit, (1979) J. Mol. Biol, 135, pp. 525-544; Suzuki, Greco, Parente, Farina, La Montagna, Leone, (1976) Atlas of Protein Sequence and Structure, 5, p. 93. , M.O. Dayhoff, National Biomedical Research Foundation, Washington, suppl. 2","Bhargava, P.M.; Centre for Cellular, Molecular Biology Regional Research Laboratory Hyderabad, 500 009, India",,,,,,,,00222836,,JMOBA,7265230,"English","J. Mol. Biol.",Letter,Scopus,2-s2.0-0019887721
"Reddy, E.S.P., Sitaram, N., Bhargava, P.M., Scheit, K.H.","A new pyrimidine-specific ribonuclease from bovine seminal plasma that is active on both single and double-stranded polyribonucleotides and that can distinguish between Mg2+-containing and Mg2+-depleted naturally occurring RNAs",1979,"Journal of Molecular Biology","135","3",,"525","544",,10,10.1016/0022-2836(79)90162-1,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018793162&partnerID=40&md5=7b4988282824957c529c7c83bae6a624","Centre for Cellular, Molecular Biology Regional Research Laboratory Hyderabad, 500009, India; Max-Planck Institut für Biophysikalische Chemie Abteilung Moleukulare Biologie Am Fassberg, D-3400 Goettingen-Nikolausberg, Germany","Reddy, E.S.P., Centre for Cellular, Molecular Biology Regional Research Laboratory Hyderabad, 500009, India; Sitaram, N., Centre for Cellular, Molecular Biology Regional Research Laboratory Hyderabad, 500009, India; Bhargava, P.M., Centre for Cellular, Molecular Biology Regional Research Laboratory Hyderabad, 500009, India; Scheit, K.H., Max-Planck Institut für Biophysikalische Chemie Abteilung Moleukulare Biologie Am Fassberg, D-3400 Goettingen-Nikolausberg, Germany","The purification to homogeneity of a new ribonuclease, named RNAase SPL, from bovine seminal plasma is described. This nuclease, like the bovine pancreatic RNAase A, is pyrimidine specific. Its activity on single-stranded synthetic polyribonucleotides such as poly(rU) is significantly higher than that of RNAase A. However, unlike RNAase A, RNAase SPL is highly active on a double-stranded RNA such as poly[r(A · U)], and shows extremely limited activity on naturally occurring RNAs, such as Escherichia coli RNA, prepared with Mg2+ present throughout the isolation procedure. Under conditions of limiting hydrolysis in which RNAase A degrades 60 to 90% of total E. coli RNA to acid-soluble material and the remaining to material having a molecular weight lower than that of transfer RNA, RNAase SPL does not yield any acid-soluble products: it does not appear to degrade tRNA or 5 S RNA, and causes only a small number of nicks in the remaining RNAs to yield a limiting digest containing products with molecular weights ranging between 10,000 and 150,000. Absence of Mg2+ during the isolation procedure, or heat denaturation of the RNA makes it as susceptible to RNAase SPL as it is to RNAase A. The above and other related observations reported here support the view that there are Mg2+-dependent structural features, besides single and doublestrandedness, in naturally occurring RNAs, that can be distinguished by using the two nucleases RNAase SPL and RNAase A. © 1979.",,"double stranded RNA; magnesium; polyribonucleotide; pyrimidine derivative; ribonuclease; RNA; RNA, Double Stranded; animal; article; cattle; DNA denaturation; enzyme specificity; enzymology; isolation and purification; male; metabolism; molecular weight; polyacrylamide gel electrophoresis; sperm; Animal; Cattle; Electrophoresis, Polyacrylamide Gel; Magnesium; Male; Molecular Weight; Nucleic Acid Denaturation; Polyribonucleotides; Pyrimidines; Ribonucleases; RNA; RNA, Double-Stranded; Semen; Substrate Specificity",,"magnesium, 7439-95-4; ribonuclease, 59794-03-5, 9001-99-4; RNA, 63231-63-0; Magnesium, 7439-95-4; Polyribonucleotides; Pyrimidines; Ribonucleases, EC 3.1.-; RNA, 63231-63-0; RNA, Double-Stranded",,,,"Billeter, Weissmann, (1966) Procedures in Nucleic Acid Research, p. 498. , G.L. Cantoni, D.R. Davies, Harper & Row, Publishers Inc, New York; Bray, (1960) Anal. Biochem, 1, pp. 279-285; Fasman, (1976) Handbook of Biochemistry & Molecular Biology: Nucleic Acids, 2, pp. 508-517. , CRC Press, Inc, Cleveland, Ohio; Laemmli, (1970) Nature (London), 227, pp. 680-685; Leon, d'Alessio, (1977) Biochem. Soc. Trans, 5, pp. 466-470; Loening, (1967) Biochem. J, 102, pp. 251-257; Michelson, Massoulie, Guschlbauer, (1907) Progr. Nucl. Acid Res. Mol. Biol, 6, pp. 84-141; Muto, Zimmermann, (1978) J. Mol. Biol, 121, pp. 1-15; O'Farrell, (1975) J. Biol. Chem, 250, pp. 4007-4021; Premkumar, Bhargava, (1973) Indian J. Biochem. Biophys, 10, pp. 239-253; Quigley, Teeter, Rich, (1978) Proc. Nat. Acad. Sci., U.S.A, 75, pp. 64-68; Reddy, Bhargava, (1979) Nature (London), 279, pp. 725-728; Reisfield, Lewis, Williams, Disk Electrophoresis of Basic Proteins and Peptides on Polyacrylamide Gels (1962) Nature, 195, pp. 281-283; Robertson, Webster, Zinder, (1968) J. Biol. Chem, 243, pp. 82-91; Scheit, Reddy, Bhargava, (1979) Nature (London), 279, pp. 728-731; Shatkin, (1965) Proc. Nat. Acad. Sci., U.S.A, 54, pp. 1721-1728; Smagowicz, Scheit, (1977) Nucl. Acids Res, 4, pp. 3863-3876; Steers, Jr, Craven, Anfinsen, (1965) J. Biol. Chem, 240, pp. 2478-2484; Techniques for High Resolution Electrophoresis (1973) ORTEC Application Note AN 32A, , ORTEC. Inc, Oak Ridge, Tennessee; Tilghman, Tiemeier, Seidman, Peterlin, Sullivan, Maizel, Leder, (1978) Proc. Nat. Acad. Sci., U.S.A, 75, pp. 725-729; Ungewickell, Garrett, Lebret, (1977) FEBS Letters, 84, pp. 37-42; Winter, Karlsson, Preparative Electrofocussing in Density Gradients (1976) LKB Application Note 219, , LKB-Produkter, AB-16125 Bromma, Sweden; Wreschner, Melloul, Herzberg, (1978) Eur. J. Biochem, 89, pp. 341-352. , Note added in proof: The amino acid sequence of the ribonuclease earlier shown to be present in bovine seminal plasma (Leone & D'Alessio, 1977), has been recently found to be slightly different from that of RNAase A at a few places (Donato, A. D. & D'Alessio, G., 1979). Biochim. Biophys. Acta, 579, 303–313); it is, however, identical to that of RNAase A for the most part. The above enzyme should, therefore, be regarded as a dimer of a RNAase A-like protein and not of RNAase A itself, as mentioned in this paper. Further, the enzyme of D'Alessio and co-workers has ten cysteines per mole and not eight as mentioned in the text here","Reddy, E.S.P.; Centre for Cellular, Molecular Biology Regional Research Laboratory Hyderabad, 500009, India",,,,,,,,00222836,,JMOBA,537087,"English","J. Mol. Biol.",Article,Scopus,2-s2.0-0018793162
"Bhargava, P.M., Dwarakanath, V.N., Prasad, K.S.N.","Regulation of cell division and malignant transformation through control of uptake of essential nutrients. Demonstration of the presence in rat liver of a new type of protein inhibitor of transport of such nutrients",1979,"Cellular and Molecular Biology","25","2",,"85","94",,2,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018576954&partnerID=40&md5=3d4b5c161d4ea25bd6b5837e4b161699","Cent. Cell. Molec. Biol., Reg. Res. Lab., Hyderabad, India","Bhargava, P.M., Cent. Cell. Molec. Biol., Reg. Res. Lab., Hyderabad, India; Dwarakanath, V.N., Cent. Cell. Molec. Biol., Reg. Res. Lab., Hyderabad, India; Prasad, K.S.N., Cent. Cell. Molec. Biol., Reg. Res. Lab., Hyderabad, India",[No abstract available],,"albumin; hydroxyurea; radioisotope; animal experiment; biological model; cell division; cell membrane; drug absorption; drug monitoring; growth regulation; histidine h 3; in vitro study; leucine h 3; liver; lysine c 14; metaplasia; oral drug administration; phenylalanine c 14; phenylalanine h 3; rat; thymidine h 3; Animal; Biological Transport; Cell Division; Cell Transformation, Neoplastic; Female; Liver; Liver Neoplasms, Experimental; Male; Proteins; Rats",,"hydroxyurea, 127-07-1; Proteins",,,,,,,,,,,,,01455680,,CMBID,535004,"English","CELL. MOL. BIOL.",Article,Scopus,2-s2.0-0018576954
"Reddy, E.S.P., Bhargava, P.M.","Seminalplasmin: An antimicrobial protein from bovine seminal plasma which acts in E. coli by specific inhibition of rRNA synthesis",1979,"Nature","279","5715",,"725","728",,74,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018358644&partnerID=40&md5=4802e4ef86c8d44ee75273c836a031d7","Cent. Cell. Molec. Biol., Reg. Res. Lab., Hyderabad, India","Reddy, E.S.P., Cent. Cell. Molec. Biol., Reg. Res. Lab., Hyderabad, India; Bhargava, P.M., Cent. Cell. Molec. Biol., Reg. Res. Lab., Hyderabad, India",[No abstract available],,"plasmin; cell growth; chromatography; drug analysis; escherichia coli; in vitro study; rna synthesis; sperm; Animal; Anti-Infective Agents; Cattle; Escherichia coli; Male; Pronase; Proteins; RNA, Ribosomal; Semen",,"plasmin, 9001-90-5, 9004-09-5; Anti-Infective Agents; Pronase, EC 3.4.24.-; Proteins; RNA, Ribosomal",,,,,,,,,,,,,00280836,,NATUA,377100,"English","NATURE",Article,Scopus,2-s2.0-0018358644
"Scheit, K.H., Reddy, E.S.P., Bhargava, P.M.","Seminalplasmin is a potent inhibitor of E. coli RNA polymerase in vitro",1979,"Nature","279","5715",,"728","731",,35,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-0018333860&partnerID=40&md5=beb089cb35e0ab9819e5cd98efef2b4e","Max-Planck Inst. Biophys. Chem., Abt. Molek. Biol., D-3400 Gottingen-Nikolausberg, Germany","Scheit, K.H., Max-Planck Inst. Biophys. Chem., Abt. Molek. Biol., D-3400 Gottingen-Nikolausberg, Germany; Reddy, E.S.P., Max-Planck Inst. Biophys. Chem., Abt. Molek. Biol., D-3400 Gottingen-Nikolausberg, Germany; Bhargava, P.M., Max-Planck Inst. Biophys. Chem., Abt. Molek. Biol., D-3400 Gottingen-Nikolausberg, Germany",[No abstract available],,"enzyme; plasmin; rna polymerase; DNA directed RNA polymerase; DNA Directed RNA Polymerases; protein; chromatography; enzyme inhibition; escherichia coli; in vitro study; methodology; sperm; article; DNA template; drug effect; enzymology; Escherichia coli; genetic transcription; macromolecule; microbiology; physiology; sperm; structure activity relation; DNA-Directed RNA Polymerases; Escherichia coli; Macromolecular Systems; Proteins; Semen; Structure-Activity Relationship; Templates, Genetic; Transcription, Genetic",,"plasmin, 9001-90-5, 9004-09-5; RNA polymerase, 9014-24-8; protein, 67254-75-5; DNA-Directed RNA Polymerases, EC 2.7.7.6; Macromolecular Systems; Proteins",,,,,,,,,,,,,00280836,,NATUA,377101,"English","NATURE",,Scopus,2-s2.0-0018333860
